ids,name,subscriberCount,viewCount,videoCount,description,creation,country,thumbnail,idPlaylist
UCJ6g6we28VrSh1ePNf-Eacg,Tenshi,4480,57204,23,"Enchantée de te rencontrée ~
Je suis un ange déchu qui vis bien loin de la ""terre"" ou vous vivez, chez moi c'est tout petit, on en a vite fait le tour. J'ai appris à contrôler une sorte de miroir et depuis j'ai découvert une multitude de chose sur votre univers !  Et c'est ainsi que ma chaine est né !

🙚☾.•*⯌☽🙧✝ 🙥☾⯌*•.☽🙘

Je ferais principalement tout ce qui touche au dessin : tuto / live dessin / animation etc 

🙚☾.•*⯌☽🙧✝ 🙥☾⯌*•.☽🙘

Les tags pour partager mes aventures avec d'autre personnes et faire de nouvelle rencontre : 

Fanart : #hecateillu
Gif / meme / amusement : #hecatefun

Merci à @Kumori Kaiga RzL mLNi pour ma photo profil et ma page d'attente de live

🙚☾.•*⯌☽🙧✝ 🙥☾⯌*•.☽🙘

Merci d'avoir lu ~

#vutuber #vtuberFR
",2014-02-20,FR,https://yt3.ggpht.com/ytc/AKedOLSuiKWoyQ2SxbqLbgpUagrqHH5tZ7yWkKD8dJ2xyw=s88-c-k-c0x00ffffff-no-rj,UUJ6g6we28VrSh1ePNf-Eacg
UCuufdfoZQAcfbpBSBDkEZ6g,Akito,349,62357,676,"🐰 Ohayo les amis, C'est Akito, je vous souhaite la bienvenue dans mon monde! 🐰

🐰 Sur ma chaîne je vous partage mes aventures, dans des mondes incroyable, fantastique & effrayant 🎃
vous trouverais des Let's Play et Gameplay sur plein de Jeux différent, donc n’hésitez pas a me suivre dans mes folles aventures, mais je ne grandit pas votre survie🌛 

Gameplay et let's Play ( aventure suivie ).

vous pouvez me retrouver tous les vendredi samedi soir sur twitch: 
https://www.twitch.tv/akitogun

https://twitter.com/AkitoGun

🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰

https://www.youtube.com/channel/UCuufdfoZQAcfbpBSBDkEZ6g?sub_confirmation=1",2007-10-22,FR,https://yt3.ggpht.com/ytc/AKedOLRkSL5PBwxzVpyjzUrGbQjVR7uOMZWqH5dJmd-v2Q=s88-c-k-c0x00ffffff-no-rj,UUuufdfoZQAcfbpBSBDkEZ6g
UC6HNqNSgWLWzTz8bP6MixQw,Hiyo,831,60807,143,"【FR】
Heyo tout le monde, c'est Hiyochan!

Je suis une Vtubeuse, c'est à dire une Youtubeuse virtuelle!
J'aime découvrir de nouveaux jeux et de nouveaux logiciels.

N'hésitez pas à vous abonner à ma chaine! 

【EN】
Heyo everybody, I'm Hiyochan!

I'm a Vtuber, which means i'm a virtual youtuber!
I like to discover news games and new softwares.

Please subscribe to my channel !
",2021-01-25,FR,https://yt3.ggpht.com/ytc/AKedOLSCFdyy_BJrOXtOTM0DrwsOlWszkRJAzHm6kp5n=s88-c-k-c0x00ffffff-no-rj,UU6HNqNSgWLWzTz8bP6MixQw
UCt4tmYm5rZZc0AkEw-L6ESw,Jet,392,42079,45,,2018-01-11,FR,https://yt3.ggpht.com/JEWXTdAmIBuyUuWZLuniASucN_RNVFShQY2VZHkjSCPKlMy15Vhzo_K26gm6gCqWYvrGp7PPEw=s88-c-k-c0x00ffffff-no-rj,UUt4tmYm5rZZc0AkEw-L6ESw
UC4UfxATm4onE119rTrm1wUA,DIA,492,51780,62,"Charging...
",2019-03-06,FR,https://yt3.ggpht.com/jhUJiSfACigoobNDzzwQbtjNiYZ4L1Y03U09YIoA7kHLZzrFsi_1K9CEvyR-yMKeyejaVcVRnQ=s88-c-k-c0x00ffffff-no-rj,UU4UfxATm4onE119rTrm1wUA
UCBgJhLF5VrtqJEJ84vfpAhw,Ryushi,445,14188,29,"Artiste amateur et joueuse de League of Legends, vous pourrez retrouver sur cette chaine principalement du dessin, du LoL, de l'humour et de la bonne poilade :D",2015-05-03,FR,https://yt3.ggpht.com/NFqDeRToIh_7bw18RfzVA-lWAIhTCzAsiApOb4iwH4yScZPtGV1B8-I0PIy--p878brEjvpdUQ=s88-c-k-c0x00ffffff-no-rj,UUBgJhLF5VrtqJEJ84vfpAhw
UCgt7cRxczq_ivGtUfkNhEDQ,Yemetis,172,1158,4,"Hey !
Je suis Yemetis et je suis une vtuber succube hybride.

Je suis illustratrice dans le manga, chara. designer et aussi autrice dans la BD.
Retrouvez moi sur twitch où vous pourrez me poser vos questions dessin, et me voir occasionnellement jouer a des jeux chill. 
 
╭─━━━━━─╮
 ʚ SOCIAL LINKS ɞ
╰─━━━━━─╯
『Twitter』https://twitter.com/yemetis

『Twitch』https://www.twitch.tv/yemetis

『Official website』https://www.yemetis.com/

『Patreon』https://www.patreon.com/yemetis

『Wiki』https://vtubers-fr.fandom.com/fr/wiki/Yemetis

",2015-05-02,FR,https://yt3.ggpht.com/neNTBHBAQMhRc_hwrWGSDjzCyqY47ZfEECUgOO7xPAfcs6bqX3XahK8LpIfY9XbvtUdehv9PAg=s88-c-k-c0x00ffffff-no-rj,UUgt7cRxczq_ivGtUfkNhEDQ
UChdGQj9D0E2Ewv1Gp57zb5w,HealerGaming,90,446,3,"Salut à toutes et à tous ! Je suis Healer, comme tu as pu le deviner.. Dans cette chaîne tu y trouveras principalement des vidéos gaming mais il y aura aussi de l'art. Et OUI ! Ahah j'espère que mes vidéos te plairont !",2020-11-14,FR,https://yt3.ggpht.com/ytc/AKedOLS9uPFtPPrWMFvvWuyItLb24uTBRgb_7tIjWwZQ=s88-c-k-c0x00ffffff-no-rj,UUhdGQj9D0E2Ewv1Gp57zb5w
UCmPmGh0vMAoizDfgfSeRKkw,Pawa,811,13227,11,"Nyaho à tous~
Mon nom est Pawa (´｡• ω •｡`)
J'adore les jeux videos, le voice acting et le dessin !

J'espère vous retrouver en live sur Twitch pour faire le plein de fun~
",2021-02-14,None,https://yt3.ggpht.com/Q28jHXlXmiA2yWCo5R_B3b83T4ooFdlIhUng0GSA95aAgk3lciTu9xug6vOLyKMmid45oQN6GQ=s88-c-k-c0x00ffffff-no-rj,UUmPmGh0vMAoizDfgfSeRKkw
UC2ocO9PGGUE3mvXSXXzgFzg,Vivali,18,122,2,"Bonjour à tous !

Je suis Vivali Lombe, mage VtuberFR passionné de jeux vidéos en tout genre (oui comme beaucoup...), je vous propose une chaîne multigaming.
Mon but sur YouTube est de vous divertir avec des vidéos diverses orienté sur le gaming (drôle, hardcore gaming, astuce, découverte mais aussi communautaire !), le tout orienté dans un univers magique🧙‍.
J'espère faire au mieux pour vous 😅

Ah oui ! Je suis aussi Papa de 4 chats ! 😻

Contact pro : vivali.lombe@gmail.com",2020-08-06,FR,https://yt3.ggpht.com/ytc/AKedOLRy0OhmQfZvXbtb3PcZ96FHadYKMLqXtJ7cMkL4=s88-c-k-c0x00ffffff-no-rj,UU2ocO9PGGUE3mvXSXXzgFzg
